stateFIPS,State,countyFIPS,County,Year,Value
17,Illinois,17001,Adams,2013-2017,30.40%
17,Illinois,17003,Alexander,2013-2017,17.60%
17,Illinois,17005,Bond,2013-2017,23.70%
17,Illinois,17007,Boone,2013-2017,23.20%
17,Illinois,17009,Brown,2013-2017,28.80%
17,Illinois,17011,Bureau,2013-2017,25.90%
17,Illinois,17013,Calhoun,2013-2017,43.30%
17,Illinois,17015,Carroll,2013-2017,29.10%
17,Illinois,17017,Cass,2013-2017,27.50%
17,Illinois,17019,Champaign,2013-2017,34.60%
17,Illinois,17021,Christian,2013-2017,43.60%
17,Illinois,17023,Clark,2013-2017,20.50%
17,Illinois,17025,Clay,2013-2017,32.40%
17,Illinois,17027,Clinton,2013-2017,24.10%
17,Illinois,17029,Coles,2013-2017,26.30%
17,Illinois,17031,Cook,2013-2017,26.40%
17,Illinois,17033,Crawford,2013-2017,25.00%
17,Illinois,17035,Cumberland,2013-2017,21.90%
17,Illinois,17039,De Witt,2013-2017,23.10%
17,Illinois,17037,DeKalb,2013-2017,26.20%
17,Illinois,17041,Douglas,2013-2017,23.20%
17,Illinois,17043,DuPage,2013-2017,24.20%
17,Illinois,17045,Edgar,2013-2017,19.90%
17,Illinois,17047,Edwards,2013-2017,33.00%
17,Illinois,17049,Effingham,2013-2017,27.60%
17,Illinois,17051,Fayette,2013-2017,25.10%
17,Illinois,17053,Ford,2013-2017,24.60%
17,Illinois,17055,Franklin,2013-2017,25.60%
17,Illinois,17057,Fulton,2013-2017,24.10%
17,Illinois,17059,Gallatin,2013-2017,27.60%
17,Illinois,17061,Greene,2013-2017,35.50%
17,Illinois,17063,Grundy,2013-2017,31.90%
17,Illinois,17065,Hamilton,2013-2017,26.30%
17,Illinois,17067,Hancock,2013-2017,34.10%
17,Illinois,17069,Hardin,2013-2017,30.90%
17,Illinois,17071,Henderson,2013-2017,28.30%
17,Illinois,17073,Henry,2013-2017,23.60%
17,Illinois,17075,Iroquois,2013-2017,27.50%
17,Illinois,17077,Jackson,2013-2017,29.00%
17,Illinois,17079,Jasper,2013-2017,30.30%
17,Illinois,17081,Jefferson,2013-2017,17.10%
17,Illinois,17083,Jersey,2013-2017,38.50%
17,Illinois,17085,Jo Daviess,2013-2017,24.60%
17,Illinois,17087,Johnson,2013-2017,21.30%
17,Illinois,17089,Kane,2013-2017,20.60%
17,Illinois,17091,Kankakee,2013-2017,27.20%
17,Illinois,17093,Kendall,2013-2017,29.80%
17,Illinois,17095,Knox,2013-2017,27.70%
17,Illinois,17099,La Salle,2013-2017,26.60%
17,Illinois,17097,Lake,2013-2017,23.80%
17,Illinois,17101,Lawrence,2013-2017,26.00%
17,Illinois,17103,Lee,2013-2017,28.30%
17,Illinois,17105,Livingston,2013-2017,31.30%
17,Illinois,17107,Logan,2013-2017,24.80%
17,Illinois,17115,Macon,2013-2017,24.10%
17,Illinois,17117,Macoupin,2013-2017,29.70%
17,Illinois,17119,Madison,2013-2017,29.20%
17,Illinois,17121,Marion,2013-2017,23.60%
17,Illinois,17123,Marshall,2013-2017,30.00%
17,Illinois,17125,Mason,2013-2017,25.70%
17,Illinois,17127,Massac,2013-2017,21.50%
17,Illinois,17109,McDonough,2013-2017,31.70%
17,Illinois,17111,McHenry,2013-2017,22.60%
17,Illinois,17113,McLean,2013-2017,35.80%
17,Illinois,17129,Menard,2013-2017,26.80%
17,Illinois,17131,Mercer,2013-2017,26.60%
17,Illinois,17133,Monroe,2013-2017,30.40%
17,Illinois,17135,Montgomery,2013-2017,43.50%
17,Illinois,17137,Morgan,2013-2017,28.10%
17,Illinois,17139,Moultrie,2013-2017,26.50%
17,Illinois,17141,Ogle,2013-2017,25.60%
17,Illinois,17143,Peoria,2013-2017,28.80%
17,Illinois,17145,Perry,2013-2017,29.50%
17,Illinois,17147,Piatt,2013-2017,18.40%
17,Illinois,17149,Pike,2013-2017,30.40%
17,Illinois,17151,Pope,2013-2017,27.50%
17,Illinois,17153,Pulaski,2013-2017,24.30%
17,Illinois,17155,Putnam,2013-2017,29.60%
17,Illinois,17157,Randolph,2013-2017,28.80%
17,Illinois,17159,Richland,2013-2017,30.30%
17,Illinois,17161,Rock Island,2013-2017,25.90%
17,Illinois,17165,Saline,2013-2017,26.90%
17,Illinois,17167,Sangamon,2013-2017,24.10%
17,Illinois,17169,Schuyler,2013-2017,35.90%
17,Illinois,17171,Scott,2013-2017,37.90%
17,Illinois,17173,Shelby,2013-2017,38.70%
17,Illinois,17163,St. Clair,2013-2017,26.90%
17,Illinois,17175,Stark,2013-2017,28.30%
17,Illinois,17177,Stephenson,2013-2017,27.90%
17,Illinois,17179,Tazewell,2013-2017,24.40%
17,Illinois,17181,Union,2013-2017,24.50%
17,Illinois,17183,Vermilion,2013-2017,22.60%
17,Illinois,17185,Wabash,2013-2017,26.90%
17,Illinois,17187,Warren,2013-2017,21.30%
17,Illinois,17189,Washington,2013-2017,27.10%
17,Illinois,17191,Wayne,2013-2017,28.90%
17,Illinois,17193,White,2013-2017,26.30%
17,Illinois,17195,Whiteside,2013-2017,27.90%
17,Illinois,17197,Will,2013-2017,33.40%
17,Illinois,17199,Williamson,2013-2017,27.20%
17,Illinois,17201,Winnebago,2013-2017,26.40%
17,Illinois,17203,Woodford,2013-2017,26.60%
