stateFIPS,State,censusTract,County,Census Tract,Year,Value
17,Illinois,17001000100,Adams,17001000100,2013-2017,30.80%
17,Illinois,17001000201,Adams,17001000201,2013-2017,36.90%
17,Illinois,17001000202,Adams,17001000202,2013-2017,22.60%
17,Illinois,17001000400,Adams,17001000400,2013-2017,25.20%
17,Illinois,17001000500,Adams,17001000500,2013-2017,32.00%
17,Illinois,17001000600,Adams,17001000600,2013-2017,30.70%
17,Illinois,17001000700,Adams,17001000700,2013-2017,23.90%
17,Illinois,17001000800,Adams,17001000800,2013-2017,17.40%
17,Illinois,17001000900,Adams,17001000900,2013-2017,29.40%
17,Illinois,17001001001,Adams,17001001001,2013-2017,24.30%
17,Illinois,17001001002,Adams,17001001002,2013-2017,31.40%
17,Illinois,17001001100,Adams,17001001100,2013-2017,28.80%
17,Illinois,17001010100,Adams,17001010100,2013-2017,30.80%
17,Illinois,17001010200,Adams,17001010200,2013-2017,30.20%
17,Illinois,17001010300,Adams,17001010300,2013-2017,30.60%
17,Illinois,17001010400,Adams,17001010400,2013-2017,33.20%
17,Illinois,17001010500,Adams,17001010500,2013-2017,40.70%
17,Illinois,17001010600,Adams,17001010600,2013-2017,38.30%
17,Illinois,17003957600,Alexander,17003957600,2013-2017,23.10%
17,Illinois,17003957700,Alexander,17003957700,2013-2017,6.40%
17,Illinois,17003957800,Alexander,17003957800,2013-2017,24.70%
17,Illinois,17003957900,Alexander,17003957900,2013-2017,13.30%
17,Illinois,17005951200,Bond,17005951200,2013-2017,14.50%
17,Illinois,17005951300,Bond,17005951300,2013-2017,30.90%
17,Illinois,17005951400,Bond,17005951400,2013-2017,25.80%
17,Illinois,17005951500,Bond,17005951500,2013-2017,20.10%
17,Illinois,17007010100,Boone,17007010100,2013-2017,19.80%
17,Illinois,17007010200,Boone,17007010200,2013-2017,24.80%
17,Illinois,17007010300,Boone,17007010300,2013-2017,27.70%
17,Illinois,17007010400,Boone,17007010400,2013-2017,24.90%
17,Illinois,17007010500,Boone,17007010500,2013-2017,22.10%
17,Illinois,17007010601,Boone,17007010601,2013-2017,11.20%
17,Illinois,17007010602,Boone,17007010602,2013-2017,25.90%
17,Illinois,17009970400,Brown,17009970400,2013-2017,35.30%
17,Illinois,17009970500,Brown,17009970500,2013-2017,21.30%
17,Illinois,17011964700,Bureau,17011964700,2013-2017,29.90%
17,Illinois,17011964800,Bureau,17011964800,2013-2017,25.80%
17,Illinois,17011964900,Bureau,17011964900,2013-2017,26.80%
17,Illinois,17011965000,Bureau,17011965000,2013-2017,20.90%
17,Illinois,17011965100,Bureau,17011965100,2013-2017,27.50%
17,Illinois,17011965200,Bureau,17011965200,2013-2017,34.20%
17,Illinois,17011965300,Bureau,17011965300,2013-2017,21.40%
17,Illinois,17011965400,Bureau,17011965400,2013-2017,21.40%
17,Illinois,17011965500,Bureau,17011965500,2013-2017,26.80%
17,Illinois,17011965600,Bureau,17011965600,2013-2017,24.30%
17,Illinois,17013951200,Calhoun,17013951200,2013-2017,44.00%
17,Illinois,17013951300,Calhoun,17013951300,2013-2017,42.60%
17,Illinois,17015960100,Carroll,17015960100,2013-2017,33.50%
17,Illinois,17015960200,Carroll,17015960200,2013-2017,28.70%
17,Illinois,17015960300,Carroll,17015960300,2013-2017,29.50%
17,Illinois,17015960400,Carroll,17015960400,2013-2017,36.00%
17,Illinois,17015960500,Carroll,17015960500,2013-2017,23.70%
17,Illinois,17015960600,Carroll,17015960600,2013-2017,20.50%
17,Illinois,17017960100,Cass,17017960100,2013-2017,24.60%
17,Illinois,17017960200,Cass,17017960200,2013-2017,25.90%
17,Illinois,17017960300,Cass,17017960300,2013-2017,23.50%
17,Illinois,17017960400,Cass,17017960400,2013-2017,26.00%
17,Illinois,17017960500,Cass,17017960500,2013-2017,37.20%
17,Illinois,17019000200,Champaign,17019000200,2013-2017,30.50%
17,Illinois,17019000301,Champaign,17019000301,2013-2017,35.90%
17,Illinois,17019000302,Champaign,17019000302,2013-2017,47.80%
17,Illinois,17019000401,Champaign,17019000401,2013-2017,40.40%
17,Illinois,17019000402,Champaign,17019000402,2013-2017,49.70%
17,Illinois,17019000500,Champaign,17019000500,2013-2017,31.30%
17,Illinois,17019000700,Champaign,17019000700,2013-2017,21.10%
17,Illinois,17019000800,Champaign,17019000800,2013-2017,32.10%
17,Illinois,17019000901,Champaign,17019000901,2013-2017,41.60%
17,Illinois,17019000902,Champaign,17019000902,2013-2017,31.00%
17,Illinois,17019001000,Champaign,17019001000,2013-2017,34.00%
17,Illinois,17019001100,Champaign,17019001100,2013-2017,35.80%
17,Illinois,17019001201,Champaign,17019001201,2013-2017,21.30%
17,Illinois,17019001203,Champaign,17019001203,2013-2017,35.10%
17,Illinois,17019001204,Champaign,17019001204,2013-2017,29.80%
17,Illinois,17019001205,Champaign,17019001205,2013-2017,31.00%
17,Illinois,17019001206,Champaign,17019001206,2013-2017,38.00%
17,Illinois,17019001301,Champaign,17019001301,2013-2017,34.90%
17,Illinois,17019001302,Champaign,17019001302,2013-2017,35.40%
17,Illinois,17019001400,Champaign,17019001400,2013-2017,28.80%
17,Illinois,17019005300,Champaign,17019005300,2013-2017,46.00%
17,Illinois,17019005401,Champaign,17019005401,2013-2017,37.20%
17,Illinois,17019005402,Champaign,17019005402,2013-2017,38.30%
17,Illinois,17019005500,Champaign,17019005500,2013-2017,34.50%
17,Illinois,17019005600,Champaign,17019005600,2013-2017,44.20%
17,Illinois,17019005701,Champaign,17019005701,2013-2017,29.70%
17,Illinois,17019005702,Champaign,17019005702,2013-2017,31.40%
17,Illinois,17019005800,Champaign,17019005800,2013-2017,27.30%
17,Illinois,17019005900,Champaign,17019005900,2013-2017,50.30%
17,Illinois,17019006000,Champaign,17019006000,2013-2017,30.20%
17,Illinois,17019010100,Champaign,17019010100,2013-2017,37.00%
17,Illinois,17019010204,Champaign,17019010204,2013-2017,27.10%
17,Illinois,17019010300,Champaign,17019010300,2013-2017,39.50%
17,Illinois,17019010400,Champaign,17019010400,2013-2017,28.10%
17,Illinois,17019010500,Champaign,17019010500,2013-2017,32.80%
17,Illinois,17019010601,Champaign,17019010601,2013-2017,31.60%
17,Illinois,17019010603,Champaign,17019010603,2013-2017,32.20%
17,Illinois,17019010604,Champaign,17019010604,2013-2017,33.40%
17,Illinois,17019010700,Champaign,17019010700,2013-2017,39.40%
17,Illinois,17019010800,Champaign,17019010800,2013-2017,38.60%
17,Illinois,17019010900,Champaign,17019010900,2013-2017,34.20%
17,Illinois,17019011000,Champaign,17019011000,2013-2017,34.70%
17,Illinois,17019011100,Champaign,17019011100,2013-2017,38.60%
17,Illinois,17021958100,Christian,17021958100,2013-2017,48.50%
17,Illinois,17021958200,Christian,17021958200,2013-2017,39.00%
17,Illinois,17021958300,Christian,17021958300,2013-2017,42.40%
17,Illinois,17021958400,Christian,17021958400,2013-2017,47.80%
17,Illinois,17021958500,Christian,17021958500,2013-2017,46.80%
17,Illinois,17021958600,Christian,17021958600,2013-2017,38.80%
17,Illinois,17021958700,Christian,17021958700,2013-2017,44.90%
17,Illinois,17021958800,Christian,17021958800,2013-2017,43.40%
17,Illinois,17021958900,Christian,17021958900,2013-2017,45.30%
17,Illinois,17021959000,Christian,17021959000,2013-2017,41.00%
17,Illinois,17023060100,Clark,17023060100,2013-2017,22.60%
17,Illinois,17023060200,Clark,17023060200,2013-2017,26.20%
17,Illinois,17023060300,Clark,17023060300,2013-2017,15.90%
17,Illinois,17023060400,Clark,17023060400,2013-2017,16.40%
17,Illinois,17025971900,Clay,17025971900,2013-2017,26.70%
17,Illinois,17025972000,Clay,17025972000,2013-2017,32.50%
