stateFIPS,State,countyFIPS,County,Year,Value
17,Illinois,17001,Adams,2013-2017,5.40%
17,Illinois,17003,Alexander,2013-2017,6.40%
17,Illinois,17005,Bond,2013-2017,4.00%
17,Illinois,17007,Boone,2013-2017,3.80%
17,Illinois,17009,Brown,2013-2017,1.40%
17,Illinois,17011,Bureau,2013-2017,3.30%
17,Illinois,17013,Calhoun,2013-2017,1.30%
17,Illinois,17015,Carroll,2013-2017,3.70%
17,Illinois,17017,Cass,2013-2017,6.50%
17,Illinois,17019,Champaign,2013-2017,3.20%
17,Illinois,17021,Christian,2013-2017,4.20%
17,Illinois,17023,Clark,2013-2017,5.70%
17,Illinois,17025,Clay,2013-2017,5.00%
17,Illinois,17027,Clinton,2013-2017,3.30%
17,Illinois,17029,Coles,2013-2017,3.80%
17,Illinois,17031,Cook,2013-2017,3.90%
17,Illinois,17033,Crawford,2013-2017,5.10%
17,Illinois,17035,Cumberland,2013-2017,4.70%
17,Illinois,17039,De Witt,2013-2017,5.30%
17,Illinois,17037,DeKalb,2013-2017,3.40%
17,Illinois,17041,Douglas,2013-2017,3.90%
17,Illinois,17043,DuPage,2013-2017,2.20%
17,Illinois,17045,Edgar,2013-2017,4.60%
17,Illinois,17047,Edwards,2013-2017,4.60%
17,Illinois,17049,Effingham,2013-2017,4.00%
17,Illinois,17051,Fayette,2013-2017,4.80%
17,Illinois,17053,Ford,2013-2017,4.80%
17,Illinois,17055,Franklin,2013-2017,5.60%
17,Illinois,17057,Fulton,2013-2017,3.60%
17,Illinois,17059,Gallatin,2013-2017,7.50%
17,Illinois,17061,Greene,2013-2017,3.70%
17,Illinois,17063,Grundy,2013-2017,2.40%
17,Illinois,17065,Hamilton,2013-2017,5.20%
17,Illinois,17067,Hancock,2013-2017,2.70%
17,Illinois,17069,Hardin,2013-2017,7.60%
17,Illinois,17071,Henderson,2013-2017,4.40%
17,Illinois,17073,Henry,2013-2017,4.60%
17,Illinois,17075,Iroquois,2013-2017,4.10%
17,Illinois,17077,Jackson,2013-2017,5.10%
17,Illinois,17079,Jasper,2013-2017,4.10%
17,Illinois,17081,Jefferson,2013-2017,6.90%
17,Illinois,17083,Jersey,2013-2017,4.20%
17,Illinois,17085,Jo Daviess,2013-2017,4.80%
17,Illinois,17087,Johnson,2013-2017,5.10%
17,Illinois,17089,Kane,2013-2017,3.20%
17,Illinois,17091,Kankakee,2013-2017,4.70%
17,Illinois,17093,Kendall,2013-2017,2.40%
17,Illinois,17095,Knox,2013-2017,4.40%
17,Illinois,17099,La Salle,2013-2017,4.60%
17,Illinois,17097,Lake,2013-2017,2.60%
17,Illinois,17101,Lawrence,2013-2017,5.20%
17,Illinois,17103,Lee,2013-2017,3.60%
17,Illinois,17105,Livingston,2013-2017,3.00%
17,Illinois,17107,Logan,2013-2017,5.00%
17,Illinois,17115,Macon,2013-2017,5.40%
17,Illinois,17117,Macoupin,2013-2017,4.20%
17,Illinois,17119,Madison,2013-2017,4.20%
17,Illinois,17121,Marion,2013-2017,5.00%
17,Illinois,17123,Marshall,2013-2017,4.70%
17,Illinois,17125,Mason,2013-2017,5.30%
17,Illinois,17127,Massac,2013-2017,5.90%
17,Illinois,17109,McDonough,2013-2017,1.80%
17,Illinois,17111,McHenry,2013-2017,2.40%
17,Illinois,17113,McLean,2013-2017,4.00%
17,Illinois,17129,Menard,2013-2017,3.90%
17,Illinois,17131,Mercer,2013-2017,5.20%
17,Illinois,17133,Monroe,2013-2017,2.10%
17,Illinois,17135,Montgomery,2013-2017,4.70%
17,Illinois,17137,Morgan,2013-2017,5.10%
17,Illinois,17139,Moultrie,2013-2017,3.70%
17,Illinois,17141,Ogle,2013-2017,3.20%
17,Illinois,17143,Peoria,2013-2017,5.00%
17,Illinois,17145,Perry,2013-2017,6.30%
17,Illinois,17147,Piatt,2013-2017,3.90%
17,Illinois,17149,Pike,2013-2017,6.70%
17,Illinois,17151,Pope,2013-2017,4.30%
17,Illinois,17153,Pulaski,2013-2017,11.10%
17,Illinois,17155,Putnam,2013-2017,3.90%
17,Illinois,17157,Randolph,2013-2017,5.60%
17,Illinois,17159,Richland,2013-2017,5.00%
17,Illinois,17161,Rock Island,2013-2017,5.00%
17,Illinois,17165,Saline,2013-2017,7.70%
17,Illinois,17167,Sangamon,2013-2017,4.50%
17,Illinois,17169,Schuyler,2013-2017,2.50%
17,Illinois,17171,Scott,2013-2017,3.30%
17,Illinois,17173,Shelby,2013-2017,6.00%
17,Illinois,17163,St. Clair,2013-2017,5.20%
17,Illinois,17175,Stark,2013-2017,5.80%
17,Illinois,17177,Stephenson,2013-2017,4.10%
17,Illinois,17179,Tazewell,2013-2017,4.50%
17,Illinois,17181,Union,2013-2017,7.80%
17,Illinois,17183,Vermilion,2013-2017,6.40%
17,Illinois,17185,Wabash,2013-2017,4.40%
17,Illinois,17187,Warren,2013-2017,6.70%
17,Illinois,17189,Washington,2013-2017,4.10%
17,Illinois,17191,Wayne,2013-2017,6.80%
17,Illinois,17193,White,2013-2017,5.60%
17,Illinois,17195,Whiteside,2013-2017,3.80%
17,Illinois,17197,Will,2013-2017,2.80%
17,Illinois,17199,Williamson,2013-2017,5.50%
17,Illinois,17201,Winnebago,2013-2017,4.50%
17,Illinois,17203,Woodford,2013-2017,2.90%
