stateFIPS,State,censusTract,Census Tract,Year,Value
17,Illinois,17001000100,"Adams County, IL - 17001000100",2013-2017,63.10%
17,Illinois,17001000201,"Adams County, IL - 17001000201",2013-2017,65.40%
17,Illinois,17001000202,"Adams County, IL - 17001000202",2013-2017,69.40%
17,Illinois,17001000400,"Adams County, IL - 17001000400",2013-2017,61.20%
17,Illinois,17001000500,"Adams County, IL - 17001000500",2013-2017,55.30%
17,Illinois,17001000600,"Adams County, IL - 17001000600",2013-2017,73.60%
17,Illinois,17001000700,"Adams County, IL - 17001000700",2013-2017,48.50%
17,Illinois,17001000800,"Adams County, IL - 17001000800",2013-2017,47.20%
17,Illinois,17001000900,"Adams County, IL - 17001000900",2013-2017,66.50%
17,Illinois,17001001001,"Adams County, IL - 17001001001",2013-2017,60.20%
17,Illinois,17001001002,"Adams County, IL - 17001001002",2013-2017,66.40%
17,Illinois,17001001100,"Adams County, IL - 17001001100",2013-2017,66.00%
17,Illinois,17001010100,"Adams County, IL - 17001010100",2013-2017,59.70%
17,Illinois,17001010200,"Adams County, IL - 17001010200",2013-2017,58.70%
17,Illinois,17001010300,"Adams County, IL - 17001010300",2013-2017,63.00%
17,Illinois,17001010400,"Adams County, IL - 17001010400",2013-2017,61.50%
17,Illinois,17001010500,"Adams County, IL - 17001010500",2013-2017,67.90%
17,Illinois,17001010600,"Adams County, IL - 17001010600",2013-2017,62.50%
17,Illinois,17003957600,"Alexander County, IL - 17003957600",2013-2017,41.80%
17,Illinois,17003957700,"Alexander County, IL - 17003957700",2013-2017,45.30%
17,Illinois,17003957800,"Alexander County, IL - 17003957800",2013-2017,37.60%
17,Illinois,17003957900,"Alexander County, IL - 17003957900",2013-2017,43.40%
17,Illinois,17005951200,"Bond County, IL - 17005951200",2013-2017,60.80%
17,Illinois,17005951300,"Bond County, IL - 17005951300",2013-2017,69.70%
17,Illinois,17005951400,"Bond County, IL - 17005951400",2013-2017,59.40%
17,Illinois,17005951500,"Bond County, IL - 17005951500",2013-2017,56.80%
17,Illinois,17007010100,"Boone County, IL - 17007010100",2013-2017,73.90%
17,Illinois,17007010200,"Boone County, IL - 17007010200",2013-2017,58.90%
17,Illinois,17007010300,"Boone County, IL - 17007010300",2013-2017,63.20%
17,Illinois,17007010400,"Boone County, IL - 17007010400",2013-2017,72.60%
17,Illinois,17007010500,"Boone County, IL - 17007010500",2013-2017,75.60%
17,Illinois,17007010601,"Boone County, IL - 17007010601",2013-2017,76.40%
17,Illinois,17007010602,"Boone County, IL - 17007010602",2013-2017,80.10%
17,Illinois,17009970400,"Brown County, IL - 17009970400",2013-2017,51.60%
17,Illinois,17009970500,"Brown County, IL - 17009970500",2013-2017,62.90%
17,Illinois,17011964700,"Bureau County, IL - 17011964700",2013-2017,64.10%
17,Illinois,17011964800,"Bureau County, IL - 17011964800",2013-2017,68.90%
17,Illinois,17011964900,"Bureau County, IL - 17011964900",2013-2017,68.80%
17,Illinois,17011965000,"Bureau County, IL - 17011965000",2013-2017,62.00%
17,Illinois,17011965100,"Bureau County, IL - 17011965100",2013-2017,64.70%
17,Illinois,17011965200,"Bureau County, IL - 17011965200",2013-2017,62.80%
17,Illinois,17011965300,"Bureau County, IL - 17011965300",2013-2017,64.50%
17,Illinois,17011965400,"Bureau County, IL - 17011965400",2013-2017,60.60%
17,Illinois,17011965500,"Bureau County, IL - 17011965500",2013-2017,64.40%
17,Illinois,17011965600,"Bureau County, IL - 17011965600",2013-2017,62.90%
17,Illinois,17013951200,"Calhoun County, IL - 17013951200",2013-2017,49.20%
17,Illinois,17013951300,"Calhoun County, IL - 17013951300",2013-2017,49.20%
17,Illinois,17015960100,"Carroll County, IL - 17015960100",2013-2017,58.40%
17,Illinois,17015960200,"Carroll County, IL - 17015960200",2013-2017,60.20%
17,Illinois,17015960300,"Carroll County, IL - 17015960300",2013-2017,54.40%
17,Illinois,17015960400,"Carroll County, IL - 17015960400",2013-2017,58.50%
17,Illinois,17015960500,"Carroll County, IL - 17015960500",2013-2017,62.10%
17,Illinois,17015960600,"Carroll County, IL - 17015960600",2013-2017,63.10%
17,Illinois,17017960100,"Cass County, IL - 17017960100",2013-2017,63.30%
17,Illinois,17017960200,"Cass County, IL - 17017960200",2013-2017,66.90%
17,Illinois,17017960300,"Cass County, IL - 17017960300",2013-2017,48.40%
17,Illinois,17017960400,"Cass County, IL - 17017960400",2013-2017,65.90%
17,Illinois,17017960500,"Cass County, IL - 17017960500",2013-2017,62.40%
17,Illinois,17019000200,"Champaign County, IL - 17019000200",2013-2017,66.30%
17,Illinois,17019000301,"Champaign County, IL - 17019000301",2013-2017,89.50%
17,Illinois,17019000302,"Champaign County, IL - 17019000302",2013-2017,92.80%
17,Illinois,17019000401,"Champaign County, IL - 17019000401",2013-2017,92.10%
17,Illinois,17019000402,"Champaign County, IL - 17019000402",2013-2017,93.50%
17,Illinois,17019000500,"Champaign County, IL - 17019000500",2013-2017,79.90%
17,Illinois,17019000700,"Champaign County, IL - 17019000700",2013-2017,68.40%
17,Illinois,17019000800,"Champaign County, IL - 17019000800",2013-2017,79.70%
17,Illinois,17019000901,"Champaign County, IL - 17019000901",2013-2017,68.40%
17,Illinois,17019000902,"Champaign County, IL - 17019000902",2013-2017,84.40%
17,Illinois,17019001000,"Champaign County, IL - 17019001000",2013-2017,66.70%
17,Illinois,17019001100,"Champaign County, IL - 17019001100",2013-2017,71.90%
17,Illinois,17019001201,"Champaign County, IL - 17019001201",2013-2017,73.80%
17,Illinois,17019001203,"Champaign County, IL - 17019001203",2013-2017,82.20%
17,Illinois,17019001204,"Champaign County, IL - 17019001204",2013-2017,88.80%
17,Illinois,17019001205,"Champaign County, IL - 17019001205",2013-2017,90.10%
17,Illinois,17019001206,"Champaign County, IL - 17019001206",2013-2017,77.50%
17,Illinois,17019001301,"Champaign County, IL - 17019001301",2013-2017,79.30%
17,Illinois,17019001302,"Champaign County, IL - 17019001302",2013-2017,73.00%
17,Illinois,17019001400,"Champaign County, IL - 17019001400",2013-2017,82.40%
17,Illinois,17019005300,"Champaign County, IL - 17019005300",2013-2017,85.80%
17,Illinois,17019005401,"Champaign County, IL - 17019005401",2013-2017,79.30%
17,Illinois,17019005402,"Champaign County, IL - 17019005402",2013-2017,73.40%
17,Illinois,17019005500,"Champaign County, IL - 17019005500",2013-2017,70.80%
17,Illinois,17019005600,"Champaign County, IL - 17019005600",2013-2017,72.00%
17,Illinois,17019005701,"Champaign County, IL - 17019005701",2013-2017,68.50%
17,Illinois,17019005702,"Champaign County, IL - 17019005702",2013-2017,74.30%
17,Illinois,17019005800,"Champaign County, IL - 17019005800",2013-2017,82.70%
17,Illinois,17019005900,"Champaign County, IL - 17019005900",2013-2017,90.20%
17,Illinois,17019006000,"Champaign County, IL - 17019006000",2013-2017,92.30%
17,Illinois,17019010100,"Champaign County, IL - 17019010100",2013-2017,73.90%
17,Illinois,17019010204,"Champaign County, IL - 17019010204",2013-2017,63.90%
17,Illinois,17019010300,"Champaign County, IL - 17019010300",2013-2017,67.00%
17,Illinois,17019010400,"Champaign County, IL - 17019010400",2013-2017,70.00%
17,Illinois,17019010500,"Champaign County, IL - 17019010500",2013-2017,72.50%
17,Illinois,17019010601,"Champaign County, IL - 17019010601",2013-2017,87.90%
17,Illinois,17019010603,"Champaign County, IL - 17019010603",2013-2017,77.00%
17,Illinois,17019010604,"Champaign County, IL - 17019010604",2013-2017,68.10%
17,Illinois,17019010700,"Champaign County, IL - 17019010700",2013-2017,76.60%
17,Illinois,17019010800,"Champaign County, IL - 17019010800",2013-2017,74.60%
17,Illinois,17019010900,"Champaign County, IL - 17019010900",2013-2017,76.70%
17,Illinois,17019011000,"Champaign County, IL - 17019011000",2013-2017,76.30%
17,Illinois,17019011100,"Champaign County, IL - 17019011100",2013-2017,86.00%
17,Illinois,17021958100,"Christian County, IL - 17021958100",2013-2017,64.30%
17,Illinois,17021958200,"Christian County, IL - 17021958200",2013-2017,57.20%
17,Illinois,17021958300,"Christian County, IL - 17021958300",2013-2017,64.20%
17,Illinois,17021958400,"Christian County, IL - 17021958400",2013-2017,58.50%
17,Illinois,17021958500,"Christian County, IL - 17021958500",2013-2017,65.20%
17,Illinois,17021958600,"Christian County, IL - 17021958600",2013-2017,71.50%
17,Illinois,17021958700,"Christian County, IL - 17021958700",2013-2017,65.00%
17,Illinois,17021958800,"Christian County, IL - 17021958800",2013-2017,61.80%
17,Illinois,17021958900,"Christian County, IL - 17021958900",2013-2017,67.30%
17,Illinois,17021959000,"Christian County, IL - 17021959000",2013-2017,68.40%
17,Illinois,17023060100,"Clark County, IL - 17023060100",2013-2017,68.70%
17,Illinois,17023060200,"Clark County, IL - 17023060200",2013-2017,64.60%
17,Illinois,17023060300,"Clark County, IL - 17023060300",2013-2017,69.20%
17,Illinois,17023060400,"Clark County, IL - 17023060400",2013-2017,65.50%
17,Illinois,17025971900,"Clay County, IL - 17025971900",2013-2017,66.30%
17,Illinois,17025972000,"Clay County, IL - 17025972000",2013-2017,58.10%
17,Illinois,17025972100,"Clay County, IL - 17025972100",2013-2017,54.60%
17,Illinois,17025972200,"Clay County, IL - 17025972200",2013-2017,62.60%
17,Illinois,17027900100,"Clinton County, IL - 17027900100",2013-2017,71.50%
17,Illinois,17027900200,"Clinton County, IL - 17027900200",2013-2017,65.40%
17,Illinois,17027900300,"Clinton County, IL - 17027900300",2013-2017,66.00%
17,Illinois,17027900401,"Clinton County, IL - 17027900401",2013-2017,64.30%
17,Illinois,17027900402,"Clinton County, IL - 17027900402",2013-2017,61.30%
17,Illinois,17027900500,"Clinton County, IL - 17027900500",2013-2017,52.70%
17,Illinois,17027900601,"Clinton County, IL - 17027900601",2013-2017,70.50%
17,Illinois,17027900602,"Clinton County, IL - 17027900602",2013-2017,69.90%
17,Illinois,17029000100,"Coles County, IL - 17029000100",2013-2017,60.20%
17,Illinois,17029000200,"Coles County, IL - 17029000200",2013-2017,64.00%
17,Illinois,17029000300,"Coles County, IL - 17029000300",2013-2017,68.40%
17,Illinois,17029000400,"Coles County, IL - 17029000400",2013-2017,57.10%
17,Illinois,17029000500,"Coles County, IL - 17029000500",2013-2017,60.40%
17,Illinois,17029000600,"Coles County, IL - 17029000600",2013-2017,63.60%
17,Illinois,17029000700,"Coles County, IL - 17029000700",2013-2017,76.10%
17,Illinois,17029000800,"Coles County, IL - 17029000800",2013-2017,75.50%
17,Illinois,17029000900,"Coles County, IL - 17029000900",2013-2017,73.90%
17,Illinois,17029001000,"Coles County, IL - 17029001000",2013-2017,58.20%
17,Illinois,17029001100,"Coles County, IL - 17029001100",2013-2017,66.40%
17,Illinois,17029001200,"Coles County, IL - 17029001200",2013-2017,67.40%
17,Illinois,17031010100,"Cook County, IL - 17031010100",2013-2017,62.70%
17,Illinois,17031010201,"Cook County, IL - 17031010201",2013-2017,68.10%
17,Illinois,17031010202,"Cook County, IL - 17031010202",2013-2017,68.90%
17,Illinois,17031010300,"Cook County, IL - 17031010300",2013-2017,78.90%
